rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
819,0.5884,True,landwatch,426340513,KY,Lawrence,552.0,1950000.0,3532.61,"Louisa, KY, 41230, Lawrence County",https://www.landwatch.com/lawrence-county-kentucky-farms-and-ranches-for-sale/pid/426340513,,,1.0,0.698,0.411,0.5,0.5
820,0.5881,True,landwatch,421351797,OK,Le Flore,230.0,920000.0,4000.0,"Pocola, OK, 74959, Le Flore County",https://www.landwatch.com/le-flore-county-oklahoma-farms-and-ranches-for-sale/pid/421351797,,,1.0,0.8,0.333,0.5,0.5
821,0.5879,True,landwatch,426279002,KY,Bath,254.0,1200000.0,4724.41,"Owingsville, KY, 40360, Bath County",https://www.landwatch.com/bath-county-kentucky-farms-and-ranches-for-sale/pid/426279002,,,1.0,0.96,0.213,0.5,0.5
822,0.5879,True,landwatch,426661258,MN,Pine,359.0,1100000.0,3064.07,"Nickerson, MN, 55749, Pine County",https://www.landwatch.com/pine-county-minnesota-hunting-property-for-sale/pid/426661258,,,1.0,0.591,0.489,0.5,0.5
823,0.5878,True,landwatch,424129813,KS,Ellis,218.0,795000.0,3646.79,"Hays, KS, 67601, Ellis County",https://www.landwatch.com/ellis-county-kansas-farms-and-ranches-for-sale/pid/424129813,,,1.0,0.72,0.392,0.5,0.5
824,0.5876,True,landwatch,426594721,KY,Cumberland,203.0,649600.0,3200.0,"Burkesville, KY, 42717, Cumberland County",https://www.landwatch.com/cumberland-county-kentucky-recreational-property-for-sale/pid/426594721,,,1.0,0.62,0.467,0.5,0.5
825,0.5872,True,landsearch,5220295,AL,Perry,455.0,1820000.0,4000.0,"Heiberger, AL 36756",https://www.landsearch.com/properties/heiberger-al-36756/5220295,,,1.0,0.796,0.333,0.5,0.5
826,0.5871,True,landsearch,5163403,OK,Okfuskee,303.0,1100000.0,3630.36,"Boley, OK 74829",https://www.landsearch.com/properties/leftwich-st-boley-ok-74829/5163403,,,1.0,0.713,0.395,0.5,0.5
827,0.5871,True,landsearch,5144809,OH,Scioto,213.0,748000.0,3511.74,"Lucasville, OH 45648",https://www.landsearch.com/properties/millers-run-back-run-rd-lucasville-oh-45648/5144809,,,1.0,0.687,0.415,0.5,0.5
828,0.5866,True,landandfarm,39793001,AL,Covington,217.0,790000.0,3640.55,"Andalusia, AL, 36456",https://www.landandfarm.com/property/big-times-within-the-bottomlands-of-pigeon-creek-39793001/,,,1.0,0.713,0.393,0.5,0.5
829,0.5865,True,landwatch,423910874,TX,Sutton,300.0,1120315.0,3734.38,"Sonora, TX, 76950, Sutton County",https://www.landwatch.com/sutton-county-texas-farms-and-ranches-for-sale/pid/423910874,,,1.0,0.733,0.378,0.5,0.5
830,0.5864,True,landwatch,421240428,KY,Lewis,475.0,1999000.0,4208.42,"Vanceburg, KY, 41179, Lewis County",https://www.landwatch.com/lewis-county-kentucky-farms-and-ranches-for-sale/pid/421240428,,,1.0,0.838,0.299,0.5,0.5
831,0.5862,True,landwatch,420920545,TN,Jackson,245.0,1100000.0,4489.8,"Bloomington Springs, TN, 38545, Jackson County",https://www.landwatch.com/jackson-county-tennessee-farms-and-ranches-for-sale/pid/420920545,,,1.0,0.9,0.252,0.5,0.5
832,0.5861,True,landwatch,425751082,ND,Grant,212.0,742350.0,3501.65,"Hebron, ND, 58638, Grant County",https://www.landwatch.com/grant-county-north-dakota-farms-and-ranches-for-sale/pid/425751082,,,1.0,0.68,0.416,0.5,0.5
833,0.586,True,landwatch,418562992,OK,Sequoyah,735.0,1869400.0,2543.4,"Webbers Falls, OK, 74435, Sequoyah County",https://www.landwatch.com/sequoyah-county-oklahoma-lakefront-property-for-sale/pid/418562992,,,1.0,0.466,0.576,0.5,0.5
834,0.586,True,landwatch,424870359,OK,Caddo,313.0,1050000.0,3354.63,"Boone, OK, 73006, Caddo County",https://www.landwatch.com/caddo-county-oklahoma-farms-and-ranches-for-sale/pid/424870359,,,1.0,0.647,0.441,0.5,0.5
835,0.5859,True,landwatch,426575423,TN,Mcnairy,540.0,1998000.0,3700.0,"Selmer, TN, 38375, McNairy County",https://www.landwatch.com/mcnairy-county-tennessee-recreational-property-for-sale/pid/426575423,,,1.0,0.723,0.383,0.5,0.5
836,0.5859,True,landwatch,423920586,GA,Clay,582.0,1919000.0,3297.25,"Fort Gaines, GA, 39851, Clay County",https://www.landwatch.com/clay-county-georgia-recreational-property-for-sale/pid/423920586,,,1.0,0.634,0.45,0.5,0.5
837,0.5858,True,landwatch,426305359,NE,Webster,804.0,2250444.0,2799.06,"Red Cloud, NE, 68970, Webster County",https://www.landwatch.com/webster-county-nebraska-farms-and-ranches-for-sale/pid/426305359,,,1.0,0.523,0.533,0.5,0.5
838,0.5858,True,landwatch,426343449,MI,Gladwin,400.0,1400000.0,3500.0,"Alger, MI, 48610, Gladwin County",https://www.landwatch.com/gladwin-county-michigan-recreational-property-for-sale/pid/426343449,,,1.0,0.678,0.417,0.5,0.5
839,0.5856,True,landandfarm,39728188,AL,Franklin,205.0,677000.0,3302.44,"Russellville, AL, 35654",https://www.landandfarm.com/property/recreational-tract-with-excellent-hunting-and-year-round-creek-near-russell-39728188/,,,1.0,0.633,0.45,0.5,0.5
840,0.5855,True,landsearch,5041722,AL,Elmore,570.0,1950000.0,3421.05,"Wetumpka, AL 36093",https://www.landsearch.com/properties/jug-factory-rd-wetumpka-al-36093/5041722,,,1.0,0.659,0.43,0.5,0.5
841,0.5854,True,landwatch,426657000,PA,Northumberland,236.0,1000000.0,4237.29,"Dalmatia, PA, 17017, Northumberland County",https://www.landwatch.com/northumberland-county-pennsylvania-farms-and-ranches-for-sale/pid/426657000,,,1.0,0.84,0.294,0.5,0.5
842,0.5852,True,landandfarm,40902733,MS,Leake,625.0,1812000.0,2899.2,"Acres Leake County, MS",https://www.landandfarm.com/property/-625-acres-leake-county-ms-40902733/,,,1.0,0.542,0.517,0.5,0.5
843,0.5849,True,landwatch,419384758,AR,Hempstead,292.0,1170000.0,4006.85,"Hope, AR, 71801, Hempstead County",https://www.landwatch.com/hempstead-county-arkansas-timberland-property-for-sale/pid/419384758,,,1.0,0.787,0.332,0.5,0.5
844,0.5849,True,landwatch,421309214,MO,Ripley,385.0,1300000.0,3376.62,"Doniphan, MO, 63935, Ripley County",https://www.landwatch.com/ripley-county-missouri-farms-and-ranches-for-sale/pid/421309214,,,1.0,0.646,0.437,0.5,0.5
845,0.5848,True,landsearch,5090432,TX,Edwards,425.0,1599000.0,3762.35,"Rocksprings, TX 78880",https://www.landsearch.com/properties/rocksprings-tx-78880/5090432,,,1.0,0.732,0.373,0.5,0.5
846,0.5847,True,landandfarm,40313023,MS,Copiah,361.0,1137150.0,3150.0,"Crystal Springs, MS, 39059",https://www.landandfarm.com/property/byron-paul-lane-40313023/,,,1.0,0.595,0.475,0.5,0.5
847,0.5843,True,landwatch,425663353,GA,Jones,244.0,1098000.0,4500.0,"Gray, GA, 31032, Jones County",https://www.landwatch.com/jones-county-georgia-recreational-property-for-sale/pid/425663353,,,1.0,0.893,0.25,0.5,0.5
